iter	Passed	Remaining
0	2	2325
1	4	2267
2	6	2156
3	8	2167
4	10	2085
5	12	2036
6	14	2038
7	16	2069
8	21	2352
9	25	2545
10	27	2496
11	31	2580
12	34	2646
13	37	2607
14	39	2602
15	42	2603
16	45	2602
17	46	2551
18	48	2496
19	50	2457
20	51	2418
21	53	2389
22	55	2365
23	57	2339
24	59	2314
25	61	2292
26	63	2273
27	65	2261
28	66	2231
29	68	2211
30	70	2192
31	71	2176
32	73	2159
33	75	2144
34	77	2125
35	78	2106
36	80	2093
37	82	2082
38	84	2071
39	85	2060
40	87	2048
41	89	2039
42	91	2029
43	92	2019
44	94	2002
45	96	1995
46	98	1989
47	99	1976
48	101	1968
49	103	1962
50	105	1954
51	106	1947
52	108	1935
53	110	1928
54	111	1912
55	113	1907
56	114	1900
57	116	1894
58	118	1888
59	119	1878
60	121	1871
61	123	1866
62	125	1861
63	126	1852
64	128	1849
65	130	1844
66	132	1839
67	133	1833
68	135	1828
69	136	1815
70	138	1808
71	139	1804
72	141	1799
73	143	1798
74	145	1794
75	147	1791
76	149	1787
77	150	1783
78	152	1779
79	154	1776
80	156	1771
81	157	1765
82	159	1760
83	161	1757
84	162	1754
85	164	1746
86	165	1741
87	167	1735
88	168	1729
89	170	1725
90	172	1721
91	174	1718
92	175	1709
93	177	1706
94	178	1703
95	180	1697
96	182	1694
97	183	1691
98	185	1687
99	187	1685
100	189	1683
101	190	1677
102	192	1674
103	194	1671
104	195	1669
105	197	1662
106	198	1657
107	200	1652
108	201	1648
109	203	1645
110	205	1642
111	206	1640
112	208	1638
113	210	1635
114	212	1633
115	214	1631
116	215	1629
117	217	1624
118	219	1622
119	220	1620
120	222	1618
121	224	1615
122	226	1612
123	227	1610
124	229	1608
125	231	1607
126	233	1605
127	235	1601
128	236	1599
129	238	1597
130	240	1595
131	242	1593
132	244	1591
133	245	1589
134	247	1587
135	249	1584
136	251	1582
137	253	1580
138	254	1578
139	256	1576
140	257	1570
141	259	1567
142	260	1563
143	262	1558
144	263	1555
145	265	1553
146	267	1551
147	268	1548
148	270	1546
149	272	1543
150	274	1541
151	275	1537
152	277	1535
153	279	1534
154	281	1532
155	282	1530
156	284	1528
157	286	1527
158	288	1525
159	290	1523
160	291	1520
161	293	1519
162	295	1517
163	297	1515
164	299	1513
165	300	1511
166	302	1509
167	304	1507
168	306	1505
169	308	1503
170	309	1501
171	311	1499
172	313	1497
173	315	1495
174	316	1493
175	318	1492
176	320	1491
177	322	1487
178	323	1484
179	325	1482
180	327	1480
181	329	1478
182	330	1476
183	332	1474
184	334	1472
185	335	1469
186	337	1467
187	339	1466
188	340	1462
189	342	1459
190	344	1458
191	346	1456
192	347	1454
193	349	1452
194	351	1451
195	353	1449
196	355	1447
197	356	1445
198	358	1442
199	360	1440
200	362	1439
201	363	1437
202	365	1435
203	367	1433
204	369	1432
205	370	1428
206	372	1426
207	373	1422
208	375	1420
209	377	1418
210	378	1417
211	380	1415
212	382	1413
213	384	1411
214	386	1410
215	387	1408
216	389	1406
217	391	1404
218	393	1402
219	395	1401
220	397	1399
221	398	1398
222	400	1395
223	402	1393
224	404	1392
225	406	1390
226	407	1388
227	409	1385
228	410	1381
229	412	1379
230	413	1377
231	415	1374
232	416	1372
233	418	1370
234	420	1369
235	422	1366
236	423	1364
237	425	1363
238	427	1361
239	429	1359
240	431	1357
241	433	1356
242	434	1354
243	436	1352
244	438	1350
245	439	1346
246	440	1343
247	442	1341
248	444	1339
249	445	1337
250	447	1335
251	449	1333
252	451	1331
253	452	1330
254	454	1328
255	456	1325
256	457	1324
257	459	1322
258	461	1320
259	463	1318
260	465	1316
261	466	1315
262	468	1313
263	470	1312
264	471	1309
265	473	1307
266	475	1305
267	477	1303
268	478	1301
269	480	1299
270	482	1297
271	484	1295
272	485	1293
273	487	1292
274	489	1290
275	491	1289
276	492	1286
277	494	1284
278	496	1282
279	498	1280
280	500	1279
281	501	1277
282	503	1276
283	505	1274
284	507	1272
285	509	1271
286	510	1269
287	512	1266
288	513	1263
289	515	1261
290	517	1259
291	519	1258
292	520	1256
293	522	1255
294	524	1253
295	526	1251
296	528	1250
297	530	1248
298	531	1246
299	533	1245
300	535	1242
301	536	1241
302	538	1239
303	540	1237
304	542	1235
305	543	1233
306	545	1231
307	547	1229
308	548	1226
309	550	1224
310	551	1222
311	553	1220
312	555	1218
313	557	1217
314	558	1215
315	560	1212
316	561	1210
317	563	1208
318	565	1206
319	566	1204
320	568	1202
321	570	1201
322	572	1199
323	573	1197
324	575	1195
325	577	1194
326	579	1192
327	581	1190
328	583	1189
329	584	1187
330	586	1185
331	588	1183
332	590	1182
333	591	1180
334	593	1178
335	595	1176
336	597	1174
337	598	1173
338	600	1171
339	602	1169
340	603	1167
341	605	1165
342	607	1163
343	608	1160
344	610	1159
345	612	1157
346	613	1155
347	615	1153
348	617	1151
349	619	1149
350	620	1147
351	622	1146
352	624	1144
353	626	1142
354	627	1139
355	629	1138
356	630	1136
357	632	1134
358	634	1132
359	636	1131
360	638	1129
361	640	1128
362	641	1125
363	643	1124
364	645	1122
365	646	1120
366	648	1117
367	649	1116
368	651	1113
369	653	1112
370	654	1110
371	656	1108
372	658	1106
373	659	1104
374	661	1102
375	663	1100
376	664	1098
377	666	1096
378	668	1094
379	669	1093
380	671	1091
381	673	1089
382	675	1087
383	676	1085
384	678	1084
385	680	1082
386	682	1080
387	684	1078
388	685	1077
389	687	1075
390	689	1073
391	691	1072
392	693	1070
393	694	1068
394	696	1066
395	697	1063
396	699	1062
397	701	1060
398	702	1058
399	704	1056
400	706	1055
401	708	1053
402	709	1051
403	711	1049
404	713	1048
405	715	1046
406	716	1044
407	718	1042
408	720	1041
409	722	1039
410	724	1037
411	725	1035
412	727	1033
413	729	1032
414	730	1030
415	732	1028
416	734	1027
417	736	1025
418	737	1023
419	739	1021
420	741	1019
421	743	1017
422	744	1015
423	745	1013
424	747	1011
425	749	1009
426	751	1007
427	752	1006
428	754	1004
429	756	1002
430	758	1000
431	759	999
432	761	997
433	763	995
434	765	994
435	767	992
436	768	990
437	770	988
438	772	986
439	774	985
440	775	983
441	777	981
442	779	979
443	780	977
444	782	976
445	784	974
446	786	972
447	787	970
448	789	968
449	791	966
450	792	965
451	794	963
452	796	961
453	798	959
454	799	958
455	801	956
456	803	954
457	805	952
458	807	951
459	808	949
460	810	947
461	812	945
462	814	944
463	815	942
464	817	940
465	819	939
466	820	936
467	822	935
468	824	933
469	825	931
470	827	929
471	828	927
472	830	925
473	832	923
474	833	921
475	835	920
476	837	918
477	839	916
478	841	915
479	843	913
480	844	911
481	846	909
482	847	907
483	849	905
484	851	904
485	852	902
486	854	900
487	856	898
488	858	896
489	860	895
490	861	893
491	863	891
492	865	890
493	866	887
494	868	886
495	870	884
496	872	882
497	874	881
498	876	879
499	877	877
500	879	875
501	880	873
502	882	872
503	884	870
504	886	868
505	887	866
506	889	864
507	891	863
508	892	861
509	894	859
510	896	857
511	898	855
512	899	854
513	901	852
514	903	850
515	905	849
516	907	847
517	909	845
518	911	844
519	912	842
520	914	840
521	916	839
522	918	837
523	920	836
524	922	834
525	924	832
526	925	831
527	927	829
528	929	827
529	931	825
530	932	823
531	934	822
532	936	820
533	938	818
534	939	816
535	941	815
536	943	813
537	945	811
538	947	810
539	949	808
540	950	806
541	952	805
542	954	803
543	956	801
544	958	799
545	959	798
546	961	796
547	963	794
548	965	792
549	966	790
550	968	789
551	970	787
552	971	785
553	973	783
554	975	781
555	976	780
556	978	778
557	980	776
558	982	774
559	983	772
560	985	771
561	987	769
562	989	767
563	990	765
564	992	764
565	994	762
566	996	760
567	997	759
568	999	757
569	1001	755
570	1003	753
571	1004	751
572	1006	750
573	1008	748
574	1010	746
575	1011	744
576	1013	742
577	1015	741
578	1017	739
579	1019	738
580	1020	736
581	1022	734
582	1024	732
583	1026	730
584	1027	729
585	1029	727
586	1031	725
587	1033	724
588	1035	722
589	1036	720
590	1038	718
591	1039	716
592	1041	715
593	1043	713
594	1045	711
595	1047	709
596	1049	708
597	1051	706
598	1052	704
599	1054	703
600	1056	701
601	1058	699
602	1059	697
603	1061	696
604	1063	694
605	1065	692
606	1067	690
607	1068	688
608	1070	687
609	1071	685
610	1073	683
611	1075	681
612	1077	680
613	1078	678
614	1080	676
615	1082	674
616	1084	672
617	1085	671
618	1087	669
619	1089	667
620	1091	666
621	1093	664
622	1094	662
623	1096	660
624	1098	658
625	1100	657
626	1101	655
627	1103	653
628	1105	652
629	1107	650
630	1109	648
631	1110	646
632	1112	645
633	1114	643
634	1116	641
635	1117	639
636	1119	638
637	1121	636
638	1123	634
639	1125	632
640	1127	631
641	1128	629
642	1130	627
643	1132	626
644	1134	624
645	1137	623
646	1139	621
647	1141	619
648	1142	618
649	1144	616
650	1146	614
651	1148	612
652	1150	611
653	1152	609
654	1153	607
655	1155	606
656	1156	604
657	1158	602
658	1160	600
659	1162	598
660	1164	597
661	1166	595
662	1167	593
663	1169	591
664	1171	590
665	1173	588
666	1175	586
667	1176	584
668	1178	583
669	1180	581
670	1182	579
671	1184	578
672	1186	576
673	1188	574
674	1189	572
675	1191	571
676	1193	569
677	1195	567
678	1197	566
679	1199	564
680	1200	562
681	1202	560
682	1204	559
683	1206	557
684	1208	555
685	1210	553
686	1211	552
687	1213	550
688	1215	548
689	1216	546
690	1218	544
691	1220	543
692	1222	541
693	1223	539
694	1225	537
695	1227	536
696	1229	534
697	1230	532
698	1232	530
699	1234	529
700	1236	527
701	1238	525
702	1240	523
703	1241	522
704	1243	520
705	1245	518
706	1246	516
707	1248	514
708	1250	513
709	1252	511
710	1253	509
711	1255	507
712	1257	506
713	1259	504
714	1260	502
715	1262	500
716	1264	499
717	1266	497
718	1267	495
719	1269	493
720	1271	492
721	1273	490
722	1275	488
723	1276	486
724	1278	485
725	1280	483
726	1282	481
727	1284	479
728	1285	478
729	1287	476
730	1289	474
731	1291	472
732	1292	470
733	1294	469
734	1296	467
735	1298	465
736	1299	463
737	1301	462
738	1303	460
739	1305	458
740	1306	456
741	1308	455
742	1310	453
743	1312	451
744	1314	449
745	1315	448
746	1317	446
747	1319	444
748	1320	442
749	1322	440
750	1324	439
751	1326	437
752	1327	435
753	1329	433
754	1331	432
755	1333	430
756	1334	428
757	1336	426
758	1338	425
759	1340	423
760	1342	421
761	1343	419
762	1345	418
763	1347	416
764	1349	414
765	1350	412
766	1352	410
767	1354	409
768	1356	407
769	1357	405
770	1359	403
771	1361	402
772	1363	400
773	1365	398
774	1366	396
775	1368	395
776	1370	393
777	1372	391
778	1374	389
779	1375	388
780	1377	386
781	1379	384
782	1381	382
783	1382	380
784	1384	379
785	1386	377
786	1388	375
787	1389	373
788	1391	372
789	1393	370
790	1394	368
791	1396	366
792	1398	365
793	1400	363
794	1402	361
795	1403	359
796	1405	357
797	1407	356
798	1409	354
799	1410	352
800	1412	350
801	1414	349
802	1416	347
803	1418	345
804	1419	343
805	1421	342
806	1423	340
807	1425	338
808	1427	336
809	1429	335
810	1430	333
811	1432	331
812	1434	329
813	1436	328
814	1437	326
815	1439	324
816	1441	322
817	1443	321
818	1445	319
819	1446	317
820	1448	315
821	1450	314
822	1452	312
823	1454	310
824	1455	308
825	1457	307
826	1459	305
827	1461	303
828	1462	301
829	1464	300
830	1466	298
831	1468	296
832	1470	294
833	1472	293
834	1474	291
835	1475	289
836	1477	287
837	1479	286
838	1481	284
839	1483	282
840	1485	280
841	1487	279
842	1488	277
843	1490	275
844	1492	273
845	1494	272
846	1496	270
847	1497	268
848	1499	266
849	1501	264
850	1503	263
851	1505	261
852	1506	259
853	1508	257
854	1510	256
855	1512	254
856	1514	252
857	1515	250
858	1517	249
859	1519	247
860	1521	245
861	1523	243
862	1524	242
863	1526	240
864	1528	238
865	1530	236
866	1531	235
867	1533	233
868	1535	231
869	1537	229
870	1538	227
871	1540	226
872	1542	224
873	1543	222
874	1545	220
875	1547	219
876	1549	217
877	1550	215
878	1552	213
879	1554	211
880	1556	210
881	1557	208
882	1559	206
883	1561	204
884	1563	203
885	1564	201
886	1566	199
887	1568	197
888	1570	196
889	1572	194
890	1573	192
891	1575	190
892	1577	189
893	1579	187
894	1580	185
895	1582	183
896	1584	181
897	1586	180
898	1588	178
899	1589	176
900	1591	174
